x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
3.365307,-1.798426,0.377008,3.461017,-1.854754,1.609940,0.111055
3.366996,-1.797758,0.376943,3.460911,-1.852056,1.609847,0.108482
3.368796,-1.797045,0.376871,3.460872,-1.851064,1.609811,0.106752
3.370372,-1.796420,0.378670,3.460805,-1.849327,1.609746,0.104773
3.372327,-1.795630,0.389218,3.460738,-1.847640,1.611619,0.102575
3.373989,-1.794944,0.393434,3.460678,-1.846294,1.618210,0.100756
3.375701,-1.794233,0.393571,3.460587,-1.844513,1.625350,0.098659
3.378037,-1.793263,0.393517,3.460368,-1.840531,1.625959,0.094935
3.380322,-1.792315,0.393452,3.460290,-1.839132,1.625923,0.092665
3.382535,-1.791396,0.393386,3.460096,-1.835600,1.625829,0.089273
3.382776,-1.791296,0.393379,3.460009,-1.834030,1.625786,0.088268
3.385597,-1.790126,0.393293,3.459939,-1.832748,1.625750,0.085694
3.387865,-1.789185,0.393221,3.459828,-1.830742,1.625692,0.083100
3.389388,-1.788553,0.393171,3.459721,-1.828790,1.625635,0.081029
3.390650,-1.788030,0.393128,3.459682,-1.828075,1.625613,0.079806
3.392479,-1.787271,0.393064,3.459544,-1.825557,1.625535,0.077224
3.394256,-1.786534,0.392999,3.459436,-1.823588,1.625471,0.074976
3.395970,-1.785824,0.392935,3.459343,-1.821884,1.625414,0.072914
3.397800,-1.785066,0.392864,3.459187,-1.819030,1.625314,0.070157
3.399208,-1.784482,0.392807,3.459092,-1.817284,1.625250,0.068279
3.400582,-1.783912,0.393957,3.459041,-1.816347,1.625215,0.066854
3.402058,-1.783292,0.401709,3.458937,-1.814487,1.628941,0.064872
3.402652,-1.783038,0.405137,3.458937,-1.814487,1.628941,0.064475
3.407661,-1.780816,0.429847,3.458502,-1.808361,1.658081,0.057824
3.410093,-1.779700,0.430340,3.458292,-1.806010,1.660720,0.054912
3.413288,-1.778234,0.430279,3.458135,-1.804261,1.660740,0.051852
3.416844,-1.776602,0.430203,3.457640,-1.798778,1.660635,0.046434
3.420623,-1.774868,0.430120,3.457467,-1.796855,1.660598,0.042905
3.422624,-1.773950,0.430076,3.457063,-1.792360,1.660508,0.039050
3.425188,-1.772774,0.430017,3.456804,-1.789488,1.660449,0.035762
3.428297,-1.771348,0.429943,3.456648,-1.787751,1.660412,0.032754
3.430712,-1.770241,0.429884,3.456253,-1.783354,1.660315,0.028710
3.433628,-1.768904,0.429810,3.455991,-1.780432,1.660249,0.025159
3.436161,-1.767743,0.429744,3.455710,-1.777294,1.660175,0.021757
3.438871,-1.766501,0.429670,3.455466,-1.774576,1.660109,0.018455
3.441235,-1.765418,0.429604,3.455335,-1.773109,1.660072,0.016061
3.443523,-1.764370,0.429538,3.455103,-1.770520,1.660006,0.013112
3.445959,-1.763254,0.429465,3.454759,-1.766663,1.659903,0.009436
3.446913,-1.762818,0.429436,3.454641,-1.765346,1.659867,0.008131
3.448982,-1.761870,0.429371,3.454525,-1.764045,1.659830,0.005954
3.451001,-1.760946,0.429305,3.454345,-1.762035,1.659773,0.003517
3.452306,-1.760349,0.429262,3.454148,-1.759824,1.659707,0.001916
3.453985,-1.759580,0.429204,3.453938,-1.757467,1.659634,0.002113
3.456017,-1.758650,0.429131,3.453837,-1.756330,1.659598,0.003183
3.457792,-1.757838,0.429066,3.453659,-1.754331,1.659533,0.005420
3.459504,-1.757055,0.429001,3.453393,-1.751335,1.659431,0.008371
3.461335,-1.756217,0.428929,3.453229,-1.749498,1.659366,0.010529
3.462926,-1.755490,0.428865,3.453107,-1.748115,1.659316,0.012281
3.464466,-1.754784,0.430688,3.452903,-1.745825,1.659393,0.014628
3.466576,-1.753800,0.442202,3.452734,-1.743998,1.666503,0.016961
3.468330,-1.752966,0.445531,3.452617,-1.742806,1.672309,0.018711
3.470393,-1.751981,0.445574,3.452287,-1.739648,1.675602,0.021907
3.472778,-1.750841,0.445502,3.452039,-1.737286,1.675549,0.024776
3.474866,-1.749844,0.445436,3.451902,-1.735980,1.675512,0.026826
3.476881,-1.748882,0.445371,3.451529,-1.732434,1.675409,0.030221
3.478829,-1.747953,0.445305,3.451401,-1.731217,1.675373,0.032130
3.480922,-1.746954,0.445232,3.451251,-1.729783,1.675329,0.034281
3.482941,-1.745990,0.445159,3.450936,-1.726782,1.675234,0.037327
3.484689,-1.745157,0.445094,3.450727,-1.724783,1.675168,0.039605
3.486378,-1.744351,0.445029,3.450416,-1.721814,1.675066,0.042440
3.488004,-1.743575,0.444964,3.450225,-1.719991,1.675001,0.044536
3.489751,-1.742743,0.444892,3.450123,-1.719010,1.674965,0.046191
3.491281,-1.742013,0.445549,3.449942,-1.717282,1.674900,0.048172
3.493172,-1.741098,0.455388,3.449661,-1.714633,1.679712,0.050927
3.496780,-1.739283,0.476618,3.449469,-1.712848,1.688470,0.054196
3.499522,-1.737845,0.489590,3.448846,-1.707819,1.714083,0.058903
3.502756,-1.736118,0.491516,3.448335,-1.704381,1.720316,0.062999
3.505969,-1.734398,0.491493,3.448043,-1.702441,1.720450,0.066156
3.509514,-1.732500,0.491422,3.447257,-1.697227,1.720383,0.071555
3.512616,-1.730840,0.491357,3.446960,-1.695258,1.720347,0.074678
3.515619,-1.729233,0.491293,3.446379,-1.691400,1.720275,0.078902
3.518848,-1.727506,0.491221,3.445654,-1.686583,1.720182,0.083857
3.521665,-1.725999,0.491157,3.445330,-1.684436,1.720139,0.086916
3.522891,-1.725343,0.491129,3.444909,-1.681634,1.720082,0.089396
3.525863,-1.723754,0.491058,3.444449,-1.678579,1.720018,0.093107
3.528471,-1.722359,0.490994,3.444201,-1.676928,1.719983,0.095736
3.531271,-1.720862,0.490923,3.443524,-1.672417,1.719883,0.100233
3.533720,-1.719553,0.490860,3.443060,-1.669328,1.719812,0.103643
3.536332,-1.718157,0.490790,3.442656,-1.666638,1.719749,0.106909
3.538598,-1.716946,0.490727,3.442439,-1.665191,1.719714,0.109202
3.540795,-1.715773,0.490664,3.442058,-1.662652,1.719651,0.112120
3.542923,-1.714636,0.490601,3.441689,-1.660189,1.719588,0.114947
3.543156,-1.714511,0.490594,3.441689,-1.660189,1.719588,0.115094
3.545432,-1.713296,0.490524,3.441061,-1.655999,1.719475,0.119064
3.546983,-1.712468,0.490475,3.440985,-1.655494,1.719461,0.120339
3.548702,-1.711550,0.490419,3.440650,-1.653253,1.719398,0.122775
3.550785,-1.710437,0.490350,3.440185,-1.650146,1.719308,0.125966
3.552598,-1.709470,0.490287,3.439841,-1.647851,1.719238,0.128495
3.554353,-1.708533,0.490225,3.439675,-1.646738,1.719204,0.130268
3.556047,-1.707629,0.490163,3.439255,-1.643927,1.719113,0.133036
3.557858,-1.706663,0.490094,3.439099,-1.642886,1.719079,0.134800
3.559433,-1.705823,0.490032,3.438827,-1.641064,1.719017,0.136892
3.560959,-1.705009,0.489970,3.438506,-1.638914,1.718941,0.139152
3.562610,-1.704125,0.492665,3.438309,-1.637589,1.718892,0.140989
3.564498,-1.703099,0.503293,3.437891,-1.634849,1.726180,0.143831
3.566224,-1.702144,0.506692,3.437636,-1.633253,1.733679,0.145880
